prohdr;2015;2020;2025;2030;2035;2040;2045;2050;;;;;;;;
AT;40,6;42,2;42,2;42,2;42,2;42,2;42,2;42,2;0;0;0;0;0;0;0;0
BE;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0,6;0;0;0;0;0;0;0;0
BG;5,7;4,1;4,1;4,1;4,1;4,1;4,1;4,1;0;0;0;0;0;0;0;0
CH;40,3;40,3;40,3;40,3;40,3;40,3;40,3;40,3;0;0;0;0;0;0;0;0
CY;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CZ;1,8;1,9;1,9;1,9;1,9;1,9;1,9;1,9;0;0;0;0;0;0;0;0
DE;18,5;19,2;20,7;20,7;20,7;20,7;20,7;20,7;0;0;0;0;0;0;0;0
DK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
EL;6,2;5;5,6;7;7;8,4;8,4;8,4;0;0;0;0;0;0;0;0
ES;31,2;33,4;34,4;36,1;37,4;36,3;35,2;34,1;0;0;0;0;0;0;0;0
FI;16,8;14,6;14,6;14,6;14,6;14,6;14,6;14,6;0;0;0;0;0;0;0;0
FR;54,3;58,7;58;57,3;56,6;55,8;54,9;54,1;0;0;0;0;0;0;0;0
HR;6,5;6,6;6,6;6,6;6,6;6,6;6,6;6,6;0;0;0;0;0;0;0;0
HU;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0,2;0;0;0;0;0;0;0;0
IE;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0,8;0;0;0;0;0;0;0;0
IT;45,5;47,6;47,6;49;49,8;52,6;53,3;53,9;0;0;0;0;0;0;0;0
LT;0,3;0,4;0,4;0,4;0,4;0,4;0,4;0,4;0;0;0;0;0;0;0;0
LU;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0
LV;1,9;2,7;2,7;2,7;2,7;2,7;2,7;2,7;0;0;0;0;0;0;0;0
MT;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
NL;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0,1;0;0;0;0;0;0;0;0
NO;138,5;138,1;138,1;138,1;138,1;138,1;138,1;138,1;0;0;0;0;0;0;0;0
PL;1,8;2,1;2,1;2,1;2,1;2,1;2,1;2,1;0;0;0;0;0;0;0;0
PT;9,8;11,9;11,9;11,9;11,9;11,9;11,9;11,9;0;0;0;0;0;0;0;0
RO;16,6;16,4;16,4;16,4;16,4;16,4;16,4;16,4;0;0;0;0;0;0;0;0
SE;67;67;67;67;67;68;68;68;0;0;0;0;0;0;0;
SI;3,8;4,3;4,3;4,3;4,3;4,3;4,3;4,3;0;0;0;0;0;0;0;0
SK;3,9;4,1;4,1;4,1;4,1;4,1;4,1;4,1;0;0;0;0;0;0;0;0
UK;6,3;5,8;5,8;5,8;5,8;5,8;5,8;5,8;0;0;0;0;0;0;0;0
;;;;;;;;;;;;;;;;
EU27;334,2;343,9;346,4;350,2;351,5;354,9;353,6;352,2;0;0;0;0;0;0;0;0
EU28;340,5;349,7;352,2;356;357,3;360,7;359,4;358,1;0;0;0;0;0;0;0;0
EU30;519,2;528,1;530,5;534,3;535,6;539;537,8;536,4;0;0;0;0;0;0;0;0
